# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,blood: (Worldwide)
2004-01,39
2004-02,41
2004-03,43
2004-04,41
2004-05,39
2004-06,40
2004-07,41
2004-08,40
2004-09,39
2004-10,44
2004-11,42
2004-12,39
2005-01,41
2005-02,41
2005-03,43
2005-04,43
2005-05,42
2005-06,41
2005-07,52
2005-08,40
2005-09,41
2005-10,43
2005-11,41
2005-12,37
2006-01,41
2006-02,42
2006-03,41
2006-04,40
2006-05,44
2006-06,44
2006-07,40
2006-08,41
2006-09,41
2006-10,40
2006-11,39
2006-12,39
2007-01,45
2007-02,43
2007-03,42
2007-04,41
2007-05,36
2007-06,38
2007-07,41
2007-08,37
2007-09,39
2007-10,38
2007-11,39
2007-12,39
2008-01,46
2008-02,48
2008-03,43
2008-04,41
2008-05,39
2008-06,39
2008-07,42
2008-08,42
2008-09,43
2008-10,46
2008-11,46
2008-12,41
2009-01,42
2009-02,45
2009-03,46
2009-04,42
2009-05,46
2009-06,51
2009-07,71
2009-08,64
2009-09,56
2009-10,51
2009-11,49
2009-12,48
2010-01,51
2010-02,49
2010-03,52
2010-04,51
2010-05,50
2010-06,55
2010-07,61
2010-08,64
2010-09,57
2010-10,49
2010-11,46
2010-12,46
2011-01,51
2011-02,46
2011-03,53
2011-04,49
2011-05,46
2011-06,54
2011-07,61
2011-08,57
2011-09,55
2011-10,49
2011-11,44
2011-12,45
2012-01,51
2012-02,49
2012-03,49
2012-04,49
2012-05,44
2012-06,54
2012-07,54
2012-08,54
2012-09,50
2012-10,49
2012-11,46
2012-12,44
2013-01,47
2013-02,46
2013-03,46
2013-04,48
2013-05,47
2013-06,49
2013-07,53
2013-08,54
2013-09,46
2013-10,46
2013-11,46
2013-12,47
2014-01,47
2014-02,49
2014-03,49
2014-04,56
2014-05,49
2014-06,49
2014-07,50
2014-08,51
2014-09,47
2014-10,51
2014-11,45
2014-12,44
2015-01,45
2015-02,49
2015-03,52
2015-04,54
2015-05,59
2015-06,54
2015-07,52
2015-08,50
2015-09,65
2015-10,50
2015-11,49
2015-12,47
2016-01,49
2016-02,50
2016-03,51
2016-04,50
2016-05,48
2016-06,51
2016-07,47
2016-08,49
2016-09,48
2016-10,50
2016-11,49
2016-12,48
2017-01,53
2017-02,53
2017-03,52
2017-04,52
2017-05,51
2017-06,50
2017-07,51
2017-08,50
2017-09,49
2017-10,52
2017-11,51
2017-12,47
2018-01,55
2018-02,56
2018-03,59
2018-04,53
2018-05,52
2018-06,51
2018-07,53
2018-08,50
2018-09,53
2018-10,52
2018-11,51
2018-12,48
2019-01,62
2019-02,56
2019-03,52
2019-04,53
2019-05,53
2019-06,53
2019-07,51
2019-08,51
2019-09,52
2019-10,57
2019-11,54
2019-12,51
2020-01,55
2020-02,55
2020-03,55
2020-04,57
2020-05,56
2020-06,58
2020-07,58
2020-08,51
2020-09,55
2020-10,59
2020-11,52
2020-12,57
2021-01,57
2021-02,57
2021-03,63
2021-04,65
2021-05,66
2021-06,62
2021-07,60
2021-08,63
2021-09,60
2021-10,65
2021-11,58
2021-12,58
2022-01,64
2022-02,62
2022-03,63
2022-04,64
2022-05,62
2022-06,60
2022-07,62
2022-08,60
2022-09,63
2022-10,61
2022-11,62
2022-12,63
2023-01,67
2023-02,61
2023-03,64
2023-04,63
2023-05,61
2023-06,67
2023-07,60
2023-08,64
2023-09,65
2023-10,64
2023-11,61
2023-12,59
2024-01,63
2024-02,67
2024-03,65
2024-04,66
2024-05,65
2024-06,63
2024-07,65
2024-08,64
2024-09,64
2024-10,68
2024-11,63
2024-12,65
2025-01,66
2025-02,73
2025-03,74
2025-04,69
2025-05,71
2025-06,68
2025-07,72
2025-08,76
2025-09,79
2025-10,76
2025-11,76
2025-12,72
2026-01,79
2026-02,84
2026-03,92
2026-04,99
2026-05,100
2026-06,99
2026-07,82
