# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,dragon: (Worldwide)
2004-01,54
2004-02,50
2004-03,53
2004-04,52
2004-05,51
2004-06,49
2004-07,47
2004-08,47
2004-09,46
2004-10,45
2004-11,46
2004-12,51
2005-01,47
2005-02,51
2005-03,51
2005-04,47
2005-05,50
2005-06,46
2005-07,48
2005-08,46
2005-09,45
2005-10,48
2005-11,47
2005-12,52
2006-01,48
2006-02,47
2006-03,49
2006-04,50
2006-05,48
2006-06,49
2006-07,50
2006-08,49
2006-09,54
2006-10,52
2006-11,50
2006-12,59
2007-01,52
2007-02,54
2007-03,57
2007-04,58
2007-05,59
2007-06,65
2007-07,64
2007-08,66
2007-09,65
2007-10,62
2007-11,60
2007-12,69
2008-01,61
2008-02,61
2008-03,62
2008-04,62
2008-05,64
2008-06,67
2008-07,71
2008-08,73
2008-09,62
2008-10,61
2008-11,60
2008-12,65
2009-01,57
2009-02,57
2009-03,59
2009-04,65
2009-05,58
2009-06,57
2009-07,57
2009-08,59
2009-09,58
2009-10,62
2009-11,100
2009-12,88
2010-01,78
2010-02,71
2010-03,74
2010-04,77
2010-05,71
2010-06,70
2010-07,75
2010-08,77
2010-09,63
2010-10,63
2010-11,65
2010-12,69
2011-01,68
2011-02,69
2011-03,89
2011-04,71
2011-05,66
2011-06,66
2011-07,67
2011-08,73
2011-09,71
2011-10,73
2011-11,73
2011-12,88
2012-01,94
2012-02,81
2012-03,76
2012-04,73
2012-05,71
2012-06,74
2012-07,78
2012-08,76
2012-09,80
2012-10,70
2012-11,75
2012-12,83
2013-01,75
2013-02,76
2013-03,83
2013-04,92
2013-05,80
2013-06,84
2013-07,86
2013-08,86
2013-09,80
2013-10,74
2013-11,71
2013-12,75
2014-01,73
2014-02,71
2014-03,72
2014-04,71
2014-05,77
2014-06,84
2014-07,85
2014-08,79
2014-09,75
2014-10,71
2014-11,90
2014-12,96
2015-01,86
2015-02,83
2015-03,86
2015-04,80
2015-05,84
2015-06,79
2015-07,92
2015-08,92
2015-09,81
2015-10,72
2015-11,71
2015-12,79
2016-01,80
2016-02,80
2016-03,72
2016-04,75
2016-05,70
2016-06,71
2016-07,77
2016-08,78
2016-09,73
2016-10,75
2016-11,75
2016-12,74
2017-01,71
2017-02,71
2017-03,67
2017-04,69
2017-05,67
2017-06,66
2017-07,75
2017-08,75
2017-09,74
2017-10,87
2017-11,74
2017-12,76
2018-01,80
2018-02,80
2018-03,82
2018-04,58
2018-05,53
2018-06,53
2018-07,59
2018-08,52
2018-09,51
2018-10,50
2018-11,51
2018-12,58
2019-01,68
2019-02,68
2019-03,60
2019-04,53
2019-05,48
2019-06,49
2019-07,47
2019-08,48
2019-09,44
2019-10,42
2019-11,45
2019-12,48
2020-01,52
2020-02,46
2020-03,47
2020-04,53
2020-05,55
2020-06,54
2020-07,50
2020-08,48
2020-09,47
2020-10,46
2020-11,43
2020-12,46
2021-01,48
2021-02,51
2021-03,52
2021-04,48
2021-05,49
2021-06,52
2021-07,51
2021-08,48
2021-09,41
2021-10,42
2021-11,39
2021-12,45
2022-01,50
2022-02,49
2022-03,50
2022-04,52
2022-05,50
2022-06,56
2022-07,54
2022-08,87
2022-09,86
2022-10,79
2022-11,55
2022-12,52
2023-01,52
2023-02,52
2023-03,46
2023-04,48
2023-05,46
2023-06,51
2023-07,50
2023-08,49
2023-09,48
2023-10,45
2023-11,45
2023-12,51
2024-01,54
2024-02,55
2024-03,70
2024-04,52
2024-05,50
2024-06,80
2024-07,78
2024-08,65
2024-09,52
2024-10,64
2024-11,64
2024-12,56
2025-01,52
2025-02,53
2025-03,56
2025-04,49
2025-05,52
2025-06,67
2025-07,57
2025-08,53
2025-09,52
2025-10,48
2025-11,48
2025-12,51
2026-01,54
2026-02,62
2026-03,52
2026-04,53
2026-05,54
2026-06,64
2026-07,64
