# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,baby dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,21
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,16
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,8
2007-04,0
2007-05,9
2007-06,0
2007-07,7
2007-08,7
2007-09,8
2007-10,10
2007-11,12
2007-12,7
2008-01,9
2008-02,0
2008-03,7
2008-04,8
2008-05,7
2008-06,8
2008-07,8
2008-08,11
2008-09,6
2008-10,8
2008-11,8
2008-12,9
2009-01,10
2009-02,10
2009-03,10
2009-04,10
2009-05,12
2009-06,8
2009-07,10
2009-08,15
2009-09,10
2009-10,13
2009-11,12
2009-12,11
2010-01,12
2010-02,11
2010-03,13
2010-04,11
2010-05,15
2010-06,10
2010-07,18
2010-08,17
2010-09,12
2010-10,17
2010-11,18
2010-12,17
2011-01,20
2011-02,15
2011-03,19
2011-04,18
2011-05,19
2011-06,21
2011-07,20
2011-08,19
2011-09,21
2011-10,18
2011-11,21
2011-12,19
2012-01,24
2012-02,24
2012-03,21
2012-04,22
2012-05,20
2012-06,26
2012-07,26
2012-08,27
2012-09,29
2012-10,29
2012-11,30
2012-12,26
2013-01,29
2013-02,25
2013-03,25
2013-04,26
2013-05,24
2013-06,28
2013-07,28
2013-08,28
2013-09,26
2013-10,27
2013-11,28
2013-12,26
2014-01,31
2014-02,28
2014-03,28
2014-04,30
2014-05,31
2014-06,28
2014-07,35
2014-08,32
2014-09,29
2014-10,31
2014-11,29
2014-12,32
2015-01,35
2015-02,31
2015-03,32
2015-04,35
2015-05,37
2015-06,33
2015-07,37
2015-08,34
2015-09,34
2015-10,33
2015-11,31
2015-12,33
2016-01,34
2016-02,34
2016-03,35
2016-04,35
2016-05,40
2016-06,41
2016-07,39
2016-08,38
2016-09,37
2016-10,38
2016-11,38
2016-12,35
2017-01,44
2017-02,40
2017-03,36
2017-04,39
2017-05,41
2017-06,42
2017-07,44
2017-08,42
2017-09,42
2017-10,44
2017-11,44
2017-12,45
2018-01,49
2018-02,44
2018-03,44
2018-04,42
2018-05,43
2018-06,48
2018-07,48
2018-08,49
2018-09,52
2018-10,51
2018-11,52
2018-12,53
2019-01,57
2019-02,55
2019-03,55
2019-04,55
2019-05,54
2019-06,56
2019-07,60
2019-08,59
2019-09,60
2019-10,57
2019-11,59
2019-12,59
2020-01,69
2020-02,63
2020-03,64
2020-04,81
2020-05,81
2020-06,80
2020-07,83
2020-08,80
2020-09,78
2020-10,71
2020-11,72
2020-12,70
2021-01,77
2021-02,75
2021-03,70
2021-04,69
2021-05,71
2021-06,77
2021-07,76
2021-08,77
2021-09,73
2021-10,68
2021-11,66
2021-12,63
2022-01,76
2022-02,74
2022-03,75
2022-04,79
2022-05,77
2022-06,81
2022-07,86
2022-08,88
2022-09,79
2022-10,80
2022-11,80
2022-12,79
2023-01,89
2023-02,83
2023-03,83
2023-04,88
2023-05,86
2023-06,86
2023-07,88
2023-08,86
2023-09,85
2023-10,81
2023-11,76
2023-12,78
2024-01,76
2024-02,73
2024-03,79
2024-04,75
2024-05,74
2024-06,74
2024-07,71
2024-08,68
2024-09,70
2024-10,66
2024-11,62
2024-12,63
2025-01,73
2025-02,65
2025-03,66
2025-04,61
2025-05,64
2025-06,60
2025-07,62
2025-08,71
2025-09,66
2025-10,66
2025-11,60
2025-12,64
2026-01,68
2026-02,67
2026-03,71
2026-04,80
2026-05,100
2026-06,93
2026-07,68
