# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,dream meaning: (Worldwide)
2004-01,13
2004-02,10
2004-03,9
2004-04,10
2004-05,10
2004-06,9
2004-07,9
2004-08,10
2004-09,10
2004-10,10
2004-11,10
2004-12,9
2005-01,11
2005-02,12
2005-03,10
2005-04,12
2005-05,9
2005-06,9
2005-07,10
2005-08,11
2005-09,10
2005-10,10
2005-11,9
2005-12,10
2006-01,12
2006-02,11
2006-03,10
2006-04,10
2006-05,10
2006-06,10
2006-07,10
2006-08,11
2006-09,11
2006-10,10
2006-11,9
2006-12,9
2007-01,11
2007-02,9
2007-03,9
2007-04,10
2007-05,9
2007-06,9
2007-07,10
2007-08,10
2007-09,9
2007-10,9
2007-11,10
2007-12,9
2008-01,12
2008-02,10
2008-03,11
2008-04,11
2008-05,10
2008-06,12
2008-07,12
2008-08,13
2008-09,12
2008-10,12
2008-11,11
2008-12,10
2009-01,12
2009-02,12
2009-03,13
2009-04,12
2009-05,12
2009-06,12
2009-07,12
2009-08,13
2009-09,12
2009-10,13
2009-11,13
2009-12,12
2010-01,13
2010-02,15
2010-03,13
2010-04,13
2010-05,13
2010-06,13
2010-07,14
2010-08,16
2010-09,15
2010-10,16
2010-11,15
2010-12,14
2011-01,18
2011-02,18
2011-03,19
2011-04,21
2011-05,19
2011-06,20
2011-07,20
2011-08,21
2011-09,21
2011-10,21
2011-11,21
2011-12,21
2012-01,22
2012-02,24
2012-03,23
2012-04,23
2012-05,23
2012-06,25
2012-07,26
2012-08,26
2012-09,27
2012-10,25
2012-11,25
2012-12,25
2013-01,26
2013-02,27
2013-03,27
2013-04,27
2013-05,27
2013-06,26
2013-07,28
2013-08,30
2013-09,30
2013-10,28
2013-11,27
2013-12,30
2014-01,32
2014-02,30
2014-03,30
2014-04,32
2014-05,31
2014-06,29
2014-07,33
2014-08,33
2014-09,32
2014-10,31
2014-11,33
2014-12,31
2015-01,34
2015-02,33
2015-03,33
2015-04,36
2015-05,36
2015-06,34
2015-07,35
2015-08,37
2015-09,37
2015-10,38
2015-11,38
2015-12,36
2016-01,38
2016-02,39
2016-03,38
2016-04,39
2016-05,40
2016-06,41
2016-07,41
2016-08,40
2016-09,41
2016-10,41
2016-11,39
2016-12,39
2017-01,44
2017-02,45
2017-03,43
2017-04,41
2017-05,45
2017-06,44
2017-07,50
2017-08,45
2017-09,47
2017-10,45
2017-11,43
2017-12,47
2018-01,49
2018-02,48
2018-03,48
2018-04,49
2018-05,48
2018-06,49
2018-07,53
2018-08,52
2018-09,50
2018-10,52
2018-11,53
2018-12,54
2019-01,59
2019-02,57
2019-03,56
2019-04,58
2019-05,55
2019-06,57
2019-07,58
2019-08,64
2019-09,63
2019-10,60
2019-11,63
2019-12,66
2020-01,69
2020-02,67
2020-03,65
2020-04,78
2020-05,81
2020-06,82
2020-07,85
2020-08,82
2020-09,82
2020-10,79
2020-11,77
2020-12,79
2021-01,84
2021-02,82
2021-03,78
2021-04,81
2021-05,82
2021-06,84
2021-07,84
2021-08,86
2021-09,80
2021-10,79
2021-11,76
2021-12,78
2022-01,89
2022-02,88
2022-03,91
2022-04,93
2022-05,92
2022-06,92
2022-07,98
2022-08,95
2022-09,93
2022-10,97
2022-11,91
2022-12,88
2023-01,98
2023-02,96
2023-03,93
2023-04,94
2023-05,89
2023-06,95
2023-07,100
2023-08,98
2023-09,100
2023-10,92
2023-11,94
2023-12,91
2024-01,93
2024-02,89
2024-03,90
2024-04,83
2024-05,84
2024-06,80
2024-07,84
2024-08,83
2024-09,82
2024-10,77
2024-11,80
2024-12,76
2025-01,71
2025-02,79
2025-03,78
2025-04,71
2025-05,73
2025-06,70
2025-07,75
2025-08,80
2025-09,75
2025-10,74
2025-11,73
2025-12,72
2026-01,79
2026-02,75
2026-03,79
2026-04,85
2026-05,100
2026-06,98
2026-07,75
