# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,falling teeth dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,23
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,16
2007-12,0
2008-01,13
2008-02,0
2008-03,17
2008-04,0
2008-05,13
2008-06,0
2008-07,13
2008-08,19
2008-09,14
2008-10,0
2008-11,0
2008-12,17
2009-01,16
2009-02,13
2009-03,18
2009-04,20
2009-05,13
2009-06,18
2009-07,19
2009-08,21
2009-09,24
2009-10,18
2009-11,27
2009-12,29
2010-01,37
2010-02,21
2010-03,20
2010-04,27
2010-05,24
2010-06,19
2010-07,28
2010-08,19
2010-09,27
2010-10,29
2010-11,30
2010-12,29
2011-01,31
2011-02,32
2011-03,36
2011-04,33
2011-05,34
2011-06,38
2011-07,39
2011-08,38
2011-09,49
2011-10,40
2011-11,50
2011-12,38
2012-01,41
2012-02,80
2012-03,65
2012-04,51
2012-05,34
2012-06,31
2012-07,50
2012-08,55
2012-09,40
2012-10,30
2012-11,34
2012-12,30
2013-01,47
2013-02,50
2013-03,34
2013-04,33
2013-05,35
2013-06,28
2013-07,24
2013-08,35
2013-09,52
2013-10,34
2013-11,28
2013-12,60
2014-01,50
2014-02,45
2014-03,41
2014-04,64
2014-05,61
2014-06,30
2014-07,27
2014-08,26
2014-09,37
2014-10,33
2014-11,25
2014-12,29
2015-01,37
2015-02,32
2015-03,32
2015-04,43
2015-05,84
2015-06,48
2015-07,32
2015-08,37
2015-09,53
2015-10,58
2015-11,41
2015-12,42
2016-01,47
2016-02,77
2016-03,55
2016-04,39
2016-05,33
2016-06,30
2016-07,68
2016-08,49
2016-09,36
2016-10,31
2016-11,59
2016-12,49
2017-01,40
2017-02,39
2017-03,38
2017-04,73
2017-05,80
2017-06,41
2017-07,54
2017-08,56
2017-09,87
2017-10,67
2017-11,44
2017-12,53
2018-01,87
2018-02,90
2018-03,46
2018-04,54
2018-05,74
2018-06,65
2018-07,38
2018-08,37
2018-09,39
2018-10,40
2018-11,36
2018-12,45
2019-01,43
2019-02,48
2019-03,54
2019-04,47
2019-05,46
2019-06,42
2019-07,58
2019-08,62
2019-09,53
2019-10,49
2019-11,48
2019-12,56
2020-01,47
2020-02,41
2020-03,39
2020-04,42
2020-05,41
2020-06,46
2020-07,53
2020-08,45
2020-09,48
2020-10,45
2020-11,43
2020-12,47
2021-01,47
2021-02,43
2021-03,46
2021-04,41
2021-05,42
2021-06,38
2021-07,44
2021-08,47
2021-09,50
2021-10,56
2021-11,58
2021-12,66
2022-01,70
2022-02,67
2022-03,77
2022-04,66
2022-05,64
2022-06,75
2022-07,77
2022-08,80
2022-09,87
2022-10,86
2022-11,75
2022-12,88
2023-01,91
2023-02,100
2023-03,80
2023-04,65
2023-05,68
2023-06,60
2023-07,70
2023-08,76
2023-09,74
2023-10,62
2023-11,59
2023-12,65
2024-01,74
2024-02,68
2024-03,73
2024-04,67
2024-05,64
2024-06,72
2024-07,73
2024-08,63
2024-09,58
2024-10,65
2024-11,58
2024-12,64
2025-01,79
2025-02,76
2025-03,72
2025-04,60
2025-05,51
2025-06,58
2025-07,63
2025-08,61
2025-09,58
2025-10,69
2025-11,79
2025-12,73
2026-01,85
2026-02,73
2026-03,68
2026-04,72
2026-05,75
2026-06,82
2026-07,65
