# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,flood dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,29
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,22
2011-02,0
2011-03,0
2011-04,0
2011-05,28
2011-06,0
2011-07,21
2011-08,0
2011-09,19
2011-10,27
2011-11,0
2011-12,21
2012-01,19
2012-02,23
2012-03,31
2012-04,0
2012-05,23
2012-06,23
2012-07,28
2012-08,29
2012-09,35
2012-10,28
2012-11,32
2012-12,23
2013-01,37
2013-02,29
2013-03,28
2013-04,32
2013-05,33
2013-06,34
2013-07,37
2013-08,35
2013-09,41
2013-10,25
2013-11,20
2013-12,28
2014-01,35
2014-02,30
2014-03,27
2014-04,39
2014-05,27
2014-06,31
2014-07,30
2014-08,28
2014-09,47
2014-10,35
2014-11,30
2014-12,29
2015-01,28
2015-02,28
2015-03,33
2015-04,36
2015-05,37
2015-06,38
2015-07,45
2015-08,36
2015-09,44
2015-10,35
2015-11,41
2015-12,50
2016-01,31
2016-02,46
2016-03,40
2016-04,45
2016-05,46
2016-06,33
2016-07,48
2016-08,43
2016-09,40
2016-10,47
2016-11,28
2016-12,46
2017-01,44
2017-02,43
2017-03,39
2017-04,43
2017-05,44
2017-06,39
2017-07,56
2017-08,49
2017-09,62
2017-10,49
2017-11,56
2017-12,40
2018-01,53
2018-02,61
2018-03,41
2018-04,54
2018-05,41
2018-06,51
2018-07,61
2018-08,72
2018-09,56
2018-10,56
2018-11,52
2018-12,53
2019-01,55
2019-02,49
2019-03,55
2019-04,53
2019-05,60
2019-06,64
2019-07,65
2019-08,70
2019-09,70
2019-10,52
2019-11,74
2019-12,55
2020-01,59
2020-02,62
2020-03,47
2020-04,63
2020-05,62
2020-06,79
2020-07,80
2020-08,85
2020-09,87
2020-10,77
2020-11,84
2020-12,87
2021-01,85
2021-02,76
2021-03,71
2021-04,77
2021-05,75
2021-06,80
2021-07,84
2021-08,82
2021-09,85
2021-10,74
2021-11,67
2021-12,66
2022-01,79
2022-02,66
2022-03,81
2022-04,86
2022-05,78
2022-06,85
2022-07,88
2022-08,100
2022-09,96
2022-10,95
2022-11,91
2022-12,80
2023-01,77
2023-02,72
2023-03,74
2023-04,72
2023-05,65
2023-06,86
2023-07,99
2023-08,93
2023-09,83
2023-10,73
2023-11,72
2023-12,77
2024-01,94
2024-02,80
2024-03,77
2024-04,64
2024-05,69
2024-06,68
2024-07,81
2024-08,83
2024-09,72
2024-10,84
2024-11,80
2024-12,63
2025-01,57
2025-02,64
2025-03,56
2025-04,55
2025-05,49
2025-06,53
2025-07,83
2025-08,73
2025-09,74
2025-10,69
2025-11,69
2025-12,58
2026-01,57
2026-02,62
2026-03,62
2026-04,71
2026-05,95
2026-06,97
2026-07,59
