# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,snake dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,9
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,7
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,6
2007-09,0
2007-10,0
2007-11,4
2007-12,0
2008-01,5
2008-02,5
2008-03,0
2008-04,0
2008-05,6
2008-06,4
2008-07,7
2008-08,6
2008-09,5
2008-10,5
2008-11,5
2008-12,0
2009-01,6
2009-02,6
2009-03,4
2009-04,7
2009-05,6
2009-06,7
2009-07,9
2009-08,8
2009-09,8
2009-10,7
2009-11,8
2009-12,6
2010-01,7
2010-02,7
2010-03,8
2010-04,9
2010-05,8
2010-06,9
2010-07,10
2010-08,11
2010-09,8
2010-10,10
2010-11,11
2010-12,12
2011-01,11
2011-02,10
2011-03,11
2011-04,15
2011-05,12
2011-06,16
2011-07,16
2011-08,15
2011-09,18
2011-10,16
2011-11,17
2011-12,15
2012-01,16
2012-02,16
2012-03,16
2012-04,17
2012-05,18
2012-06,19
2012-07,20
2012-08,21
2012-09,21
2012-10,18
2012-11,21
2012-12,19
2013-01,21
2013-02,21
2013-03,23
2013-04,23
2013-05,23
2013-06,19
2013-07,23
2013-08,26
2013-09,23
2013-10,25
2013-11,20
2013-12,21
2014-01,25
2014-02,23
2014-03,24
2014-04,22
2014-05,26
2014-06,25
2014-07,25
2014-08,29
2014-09,27
2014-10,27
2014-11,26
2014-12,25
2015-01,28
2015-02,28
2015-03,25
2015-04,29
2015-05,32
2015-06,28
2015-07,32
2015-08,30
2015-09,30
2015-10,31
2015-11,28
2015-12,33
2016-01,29
2016-02,31
2016-03,31
2016-04,32
2016-05,34
2016-06,36
2016-07,35
2016-08,34
2016-09,36
2016-10,33
2016-11,33
2016-12,34
2017-01,40
2017-02,37
2017-03,37
2017-04,35
2017-05,38
2017-06,42
2017-07,47
2017-08,44
2017-09,41
2017-10,38
2017-11,41
2017-12,43
2018-01,38
2018-02,35
2018-03,37
2018-04,39
2018-05,38
2018-06,42
2018-07,42
2018-08,45
2018-09,44
2018-10,43
2018-11,46
2018-12,47
2019-01,43
2019-02,43
2019-03,45
2019-04,41
2019-05,47
2019-06,47
2019-07,49
2019-08,52
2019-09,53
2019-10,52
2019-11,55
2019-12,54
2020-01,59
2020-02,55
2020-03,53
2020-04,66
2020-05,69
2020-06,70
2020-07,78
2020-08,75
2020-09,72
2020-10,71
2020-11,71
2020-12,70
2021-01,73
2021-02,71
2021-03,71
2021-04,74
2021-05,74
2021-06,77
2021-07,82
2021-08,82
2021-09,80
2021-10,74
2021-11,73
2021-12,70
2022-01,85
2022-02,81
2022-03,88
2022-04,83
2022-05,82
2022-06,86
2022-07,93
2022-08,100
2022-09,97
2022-10,99
2022-11,89
2022-12,85
2023-01,83
2023-02,83
2023-03,77
2023-04,86
2023-05,91
2023-06,92
2023-07,93
2023-08,100
2023-09,91
2023-10,89
2023-11,89
2023-12,86
2024-01,87
2024-02,84
2024-03,86
2024-04,79
2024-05,79
2024-06,79
2024-07,85
2024-08,85
2024-09,83
2024-10,81
2024-11,76
2024-12,74
2025-01,76
2025-02,75
2025-03,73
2025-04,68
2025-05,68
2025-06,67
2025-07,71
2025-08,70
2025-09,69
2025-10,66
2025-11,63
2025-12,62
2026-01,66
2026-02,64
2026-03,65
2026-04,66
2026-05,73
2026-06,69
2026-07,60
