# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,spider dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,28
2009-05,28
2009-06,0
2009-07,0
2009-08,0
2009-09,24
2009-10,0
2009-11,0
2009-12,15
2010-01,23
2010-02,0
2010-03,15
2010-04,15
2010-05,0
2010-06,0
2010-07,18
2010-08,23
2010-09,25
2010-10,0
2010-11,15
2010-12,13
2011-01,19
2011-02,18
2011-03,20
2011-04,30
2011-05,25
2011-06,24
2011-07,26
2011-08,28
2011-09,28
2011-10,33
2011-11,32
2011-12,29
2012-01,34
2012-02,35
2012-03,35
2012-04,42
2012-05,38
2012-06,43
2012-07,51
2012-08,46
2012-09,46
2012-10,48
2012-11,37
2012-12,39
2013-01,42
2013-02,33
2013-03,46
2013-04,48
2013-05,38
2013-06,33
2013-07,45
2013-08,52
2013-09,61
2013-10,49
2013-11,52
2013-12,40
2014-01,42
2014-02,42
2014-03,43
2014-04,36
2014-05,43
2014-06,34
2014-07,35
2014-08,40
2014-09,46
2014-10,50
2014-11,47
2014-12,42
2015-01,41
2015-02,35
2015-03,42
2015-04,48
2015-05,51
2015-06,46
2015-07,53
2015-08,53
2015-09,53
2015-10,45
2015-11,44
2015-12,44
2016-01,44
2016-02,47
2016-03,48
2016-04,46
2016-05,51
2016-06,42
2016-07,41
2016-08,48
2016-09,45
2016-10,45
2016-11,42
2016-12,42
2017-01,44
2017-02,45
2017-03,47
2017-04,41
2017-05,47
2017-06,50
2017-07,54
2017-08,49
2017-09,54
2017-10,48
2017-11,51
2017-12,54
2018-01,44
2018-02,46
2018-03,61
2018-04,51
2018-05,59
2018-06,55
2018-07,54
2018-08,62
2018-09,57
2018-10,56
2018-11,61
2018-12,67
2019-01,63
2019-02,63
2019-03,62
2019-04,77
2019-05,68
2019-06,76
2019-07,71
2019-08,76
2019-09,94
2019-10,80
2019-11,87
2019-12,76
2020-01,81
2020-02,76
2020-03,61
2020-04,78
2020-05,86
2020-06,96
2020-07,97
2020-08,94
2020-09,94
2020-10,90
2020-11,78
2020-12,87
2021-01,78
2021-02,89
2021-03,89
2021-04,86
2021-05,94
2021-06,82
2021-07,79
2021-08,100
2021-09,82
2021-10,91
2021-11,85
2021-12,79
2022-01,87
2022-02,70
2022-03,87
2022-04,91
2022-05,87
2022-06,87
2022-07,89
2022-08,99
2022-09,96
2022-10,86
2022-11,81
2022-12,74
2023-01,70
2023-02,71
2023-03,64
2023-04,74
2023-05,76
2023-06,84
2023-07,77
2023-08,79
2023-09,87
2023-10,86
2023-11,70
2023-12,78
2024-01,76
2024-02,76
2024-03,76
2024-04,85
2024-05,73
2024-06,71
2024-07,64
2024-08,79
2024-09,82
2024-10,61
2024-11,64
2024-12,69
2025-01,63
2025-02,72
2025-03,71
2025-04,66
2025-05,61
2025-06,65
2025-07,56
2025-08,69
2025-09,71
2025-10,71
2025-11,66
2025-12,52
2026-01,58
2026-02,52
2026-03,61
2026-04,67
2026-05,75
2026-06,65
2026-07,52
