# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,water dream meaning: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,9
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,7
2007-08,0
2007-09,6
2007-10,4
2007-11,0
2007-12,0
2008-01,0
2008-02,6
2008-03,6
2008-04,5
2008-05,4
2008-06,0
2008-07,4
2008-08,3
2008-09,0
2008-10,6
2008-11,5
2008-12,4
2009-01,0
2009-02,5
2009-03,4
2009-04,4
2009-05,5
2009-06,5
2009-07,5
2009-08,7
2009-09,4
2009-10,4
2009-11,5
2009-12,3
2010-01,4
2010-02,6
2010-03,6
2010-04,7
2010-05,5
2010-06,5
2010-07,8
2010-08,7
2010-09,7
2010-10,9
2010-11,7
2010-12,7
2011-01,8
2011-02,8
2011-03,8
2011-04,8
2011-05,8
2011-06,8
2011-07,11
2011-08,9
2011-09,10
2011-10,10
2011-11,11
2011-12,10
2012-01,11
2012-02,11
2012-03,10
2012-04,9
2012-05,10
2012-06,12
2012-07,13
2012-08,13
2012-09,13
2012-10,14
2012-11,13
2012-12,13
2013-01,15
2013-02,13
2013-03,13
2013-04,13
2013-05,12
2013-06,13
2013-07,14
2013-08,15
2013-09,14
2013-10,14
2013-11,14
2013-12,13
2014-01,16
2014-02,16
2014-03,15
2014-04,16
2014-05,15
2014-06,15
2014-07,16
2014-08,15
2014-09,17
2014-10,17
2014-11,16
2014-12,17
2015-01,18
2015-02,17
2015-03,18
2015-04,19
2015-05,19
2015-06,16
2015-07,18
2015-08,20
2015-09,20
2015-10,20
2015-11,18
2015-12,19
2016-01,20
2016-02,20
2016-03,23
2016-04,20
2016-05,22
2016-06,22
2016-07,22
2016-08,24
2016-09,23
2016-10,22
2016-11,23
2016-12,23
2017-01,25
2017-02,26
2017-03,23
2017-04,25
2017-05,24
2017-06,26
2017-07,26
2017-08,24
2017-09,27
2017-10,26
2017-11,25
2017-12,23
2018-01,27
2018-02,28
2018-03,25
2018-04,28
2018-05,25
2018-06,28
2018-07,28
2018-08,30
2018-09,31
2018-10,28
2018-11,29
2018-12,31
2019-01,33
2019-02,29
2019-03,31
2019-04,33
2019-05,35
2019-06,33
2019-07,35
2019-08,34
2019-09,38
2019-10,36
2019-11,38
2019-12,38
2020-01,43
2020-02,43
2020-03,40
2020-04,44
2020-05,50
2020-06,49
2020-07,50
2020-08,50
2020-09,47
2020-10,46
2020-11,44
2020-12,45
2021-01,50
2021-02,48
2021-03,44
2021-04,46
2021-05,45
2021-06,46
2021-07,48
2021-08,49
2021-09,47
2021-10,44
2021-11,45
2021-12,41
2022-01,53
2022-02,51
2022-03,50
2022-04,50
2022-05,53
2022-06,56
2022-07,56
2022-08,59
2022-09,55
2022-10,54
2022-11,56
2022-12,54
2023-01,57
2023-02,51
2023-03,56
2023-04,57
2023-05,57
2023-06,59
2023-07,58
2023-08,58
2023-09,58
2023-10,53
2023-11,54
2023-12,53
2024-01,55
2024-02,50
2024-03,54
2024-04,49
2024-05,47
2024-06,46
2024-07,48
2024-08,51
2024-09,49
2024-10,46
2024-11,44
2024-12,41
2025-01,46
2025-02,49
2025-03,46
2025-04,42
2025-05,44
2025-06,43
2025-07,44
2025-08,57
2025-09,56
2025-10,48
2025-11,49
2025-12,52
2026-01,58
2026-02,57
2026-03,68
2026-04,72
2026-05,100
2026-06,100
2026-07,59
