# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,the king + tyrant + ruler: (Worldwide)
2004-01,100
2004-02,74
2004-03,71
2004-04,59
2004-05,61
2004-06,52
2004-07,50
2004-08,48
2004-09,53
2004-10,57
2004-11,55
2004-12,60
2005-01,52
2005-02,47
2005-03,46
2005-04,46
2005-05,46
2005-06,39
2005-07,41
2005-08,39
2005-09,44
2005-10,48
2005-11,45
2005-12,52
2006-01,51
2006-02,45
2006-03,43
2006-04,45
2006-05,42
2006-06,37
2006-07,35
2006-08,35
2006-09,38
2006-10,46
2006-11,41
2006-12,39
2007-01,43
2007-02,43
2007-03,39
2007-04,37
2007-05,38
2007-06,35
2007-07,34
2007-08,38
2007-09,41
2007-10,38
2007-11,42
2007-12,41
2008-01,45
2008-02,41
2008-03,39
2008-04,38
2008-05,40
2008-06,40
2008-07,41
2008-08,40
2008-09,45
2008-10,44
2008-11,52
2008-12,44
2009-01,44
2009-02,42
2009-03,42
2009-04,41
2009-05,42
2009-06,40
2009-07,40
2009-08,38
2009-09,42
2009-10,43
2009-11,43
2009-12,42
2010-01,43
2010-02,43
2010-03,41
2010-04,41
2010-05,42
2010-06,38
2010-07,39
2010-08,39
2010-09,40
2010-10,40
2010-11,42
2010-12,43
2011-01,45
2011-02,48
2011-03,40
2011-04,43
2011-05,42
2011-06,43
2011-07,44
2011-08,44
2011-09,43
2011-10,46
2011-11,41
2011-12,46
2012-01,44
2012-02,46
2012-03,41
2012-04,43
2012-05,42
2012-06,39
2012-07,43
2012-08,41
2012-09,43
2012-10,42
2012-11,41
2012-12,43
2013-01,43
2013-02,47
2013-03,44
2013-04,41
2013-05,38
2013-06,40
2013-07,42
2013-08,43
2013-09,44
2013-10,42
2013-11,42
2013-12,45
2014-01,45
2014-02,46
2014-03,43
2014-04,45
2014-05,41
2014-06,43
2014-07,45
2014-08,48
2014-09,45
2014-10,43
2014-11,41
2014-12,44
2015-01,44
2015-02,44
2015-03,42
2015-04,41
2015-05,42
2015-06,42
2015-07,41
2015-08,44
2015-09,52
2015-10,44
2015-11,40
2015-12,44
2016-01,44
2016-02,44
2016-03,39
2016-04,44
2016-05,41
2016-06,41
2016-07,41
2016-08,38
2016-09,42
2016-10,40
2016-11,43
2016-12,41
2017-01,44
2017-02,45
2017-03,42
2017-04,43
2017-05,45
2017-06,41
2017-07,44
2017-08,51
2017-09,44
2017-10,44
2017-11,44
2017-12,42
2018-01,52
2018-02,45
2018-03,41
2018-04,40
2018-05,40
2018-06,37
2018-07,38
2018-08,37
2018-09,39
2018-10,40
2018-11,48
2018-12,43
2019-01,46
2019-02,47
2019-03,43
2019-04,49
2019-05,48
2019-06,50
2019-07,79
2019-08,57
2019-09,48
2019-10,49
2019-11,56
2019-12,47
2020-01,47
2020-02,45
2020-03,48
2020-04,64
2020-05,66
2020-06,60
2020-07,51
2020-08,48
2020-09,51
2020-10,47
2020-11,45
2020-12,48
2021-01,51
2021-02,46
2021-03,45
2021-04,48
2021-05,43
2021-06,42
2021-07,43
2021-08,40
2021-09,42
2021-10,43
2021-11,45
2021-12,47
2022-01,52
2022-02,51
2022-03,51
2022-04,53
2022-05,47
2022-06,45
2022-07,45
2022-08,48
2022-09,78
2022-10,60
2022-11,54
2022-12,49
2023-01,57
2023-02,58
2023-03,50
2023-04,51
2023-05,60
2023-06,54
2023-07,65
2023-08,57
2023-09,53
2023-10,50
2023-11,51
2023-12,50
2024-01,57
2024-02,60
2024-03,57
2024-04,54
2024-05,57
2024-06,50
2024-07,50
2024-08,54
2024-09,56
2024-10,52
2024-11,50
2024-12,65
2025-01,64
2025-02,57
2025-03,54
2025-04,53
2025-05,56
2025-06,56
2025-07,54
2025-08,63
2025-09,64
2025-10,66
2025-11,59
2025-12,68
2026-01,72
2026-02,75
2026-03,70
2026-04,75
2026-05,79
2026-06,75
2026-07,64
