# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,inferno + conflagration: (Worldwide)
2004-01,21
2004-02,22
2004-03,22
2004-04,22
2004-05,22
2004-06,18
2004-07,15
2004-08,19
2004-09,19
2004-10,19
2004-11,20
2004-12,25
2005-01,28
2005-02,29
2005-03,33
2005-04,30
2005-05,27
2005-06,24
2005-07,19
2005-08,18
2005-09,19
2005-10,19
2005-11,22
2005-12,23
2006-01,23
2006-02,23
2006-03,23
2006-04,22
2006-05,21
2006-06,17
2006-07,16
2006-08,18
2006-09,18
2006-10,21
2006-11,21
2006-12,22
2007-01,21
2007-02,21
2007-03,21
2007-04,23
2007-05,22
2007-06,21
2007-07,19
2007-08,18
2007-09,19
2007-10,20
2007-11,22
2007-12,20
2008-01,20
2008-02,20
2008-03,20
2008-04,19
2008-05,20
2008-06,17
2008-07,17
2008-08,18
2008-09,18
2008-10,20
2008-11,22
2008-12,21
2009-01,21
2009-02,22
2009-03,22
2009-04,22
2009-05,22
2009-06,21
2009-07,20
2009-08,24
2009-09,22
2009-10,23
2009-11,23
2009-12,26
2010-01,29
2010-02,53
2010-03,38
2010-04,31
2010-05,30
2010-06,26
2010-07,24
2010-08,27
2010-09,23
2010-10,24
2010-11,24
2010-12,24
2011-01,24
2011-02,23
2011-03,23
2011-04,24
2011-05,23
2011-06,22
2011-07,22
2011-08,22
2011-09,21
2011-10,23
2011-11,22
2011-12,22
2012-01,22
2012-02,22
2012-03,22
2012-04,21
2012-05,37
2012-06,50
2012-07,35
2012-08,27
2012-09,24
2012-10,21
2012-11,21
2012-12,24
2013-01,25
2013-02,24
2013-03,24
2013-04,24
2013-05,44
2013-06,35
2013-07,29
2013-08,26
2013-09,25
2013-10,27
2013-11,24
2013-12,27
2014-01,24
2014-02,23
2014-03,23
2014-04,23
2014-05,23
2014-06,21
2014-07,22
2014-08,23
2014-09,23
2014-10,24
2014-11,24
2014-12,27
2015-01,24
2015-02,23
2015-03,23
2015-04,23
2015-05,22
2015-06,23
2015-07,21
2015-08,20
2015-09,37
2015-10,36
2015-11,25
2015-12,25
2016-01,27
2016-02,25
2016-03,23
2016-04,21
2016-05,26
2016-06,21
2016-07,20
2016-08,22
2016-09,30
2016-10,100
2016-11,63
2016-12,45
2017-01,40
2017-02,34
2017-03,27
2017-04,26
2017-05,23
2017-06,24
2017-07,25
2017-08,21
2017-09,21
2017-10,24
2017-11,20
2017-12,22
2018-01,21
2018-02,20
2018-03,20
2018-04,19
2018-05,19
2018-06,18
2018-07,17
2018-08,18
2018-09,19
2018-10,19
2018-11,20
2018-12,19
2019-01,18
2019-02,18
2019-03,19
2019-04,23
2019-05,18
2019-06,17
2019-07,16
2019-08,16
2019-09,17
2019-10,17
2019-11,20
2019-12,18
2020-01,20
2020-02,17
2020-03,20
2020-04,23
2020-05,22
2020-06,21
2020-07,18
2020-08,19
2020-09,18
2020-10,18
2020-11,19
2020-12,18
2021-01,19
2021-02,19
2021-03,20
2021-04,18
2021-05,20
2021-06,16
2021-07,17
2021-08,20
2021-09,17
2021-10,18
2021-11,19
2021-12,23
2022-01,44
2022-02,21
2022-03,20
2022-04,19
2022-05,19
2022-06,17
2022-07,17
2022-08,18
2022-09,16
2022-10,16
2022-11,17
2022-12,26
2023-01,39
2023-02,22
2023-03,19
2023-04,19
2023-05,17
2023-06,17
2023-07,17
2023-08,18
2023-09,17
2023-10,19
2023-11,18
2023-12,31
2024-01,39
2024-02,21
2024-03,20
2024-04,18
2024-05,19
2024-06,17
2024-07,17
2024-08,17
2024-09,18
2024-10,18
2024-11,18
2024-12,19
2025-01,35
2025-02,31
2025-03,19
2025-04,18
2025-05,18
2025-06,18
2025-07,18
2025-08,19
2025-09,20
2025-10,22
2025-11,21
2025-12,21
2026-01,36
2026-02,50
2026-03,24
2026-04,21
2026-05,23
2026-06,22
2026-07,19
