# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,flood + deluge: (Worldwide)
2004-01,27
2004-02,29
2004-03,29
2004-04,27
2004-05,29
2004-06,25
2004-07,27
2004-08,34
2004-09,41
2004-10,37
2004-11,27
2004-12,27
2005-01,39
2005-02,29
2005-03,26
2005-04,27
2005-05,27
2005-06,29
2005-07,27
2005-08,35
2005-09,64
2005-10,43
2005-11,29
2005-12,26
2006-01,26
2006-02,25
2006-03,27
2006-04,28
2006-05,30
2006-06,32
2006-07,25
2006-08,26
2006-09,23
2006-10,24
2006-11,25
2006-12,23
2007-01,25
2007-02,24
2007-03,24
2007-04,26
2007-05,26
2007-06,43
2007-07,55
2007-08,33
2007-09,23
2007-10,25
2007-11,28
2007-12,26
2008-01,35
2008-02,26
2008-03,27
2008-04,26
2008-05,26
2008-06,48
2008-07,24
2008-08,26
2008-09,33
2008-10,24
2008-11,24
2008-12,21
2009-01,25
2009-02,24
2009-03,32
2009-04,26
2009-05,25
2009-06,22
2009-07,20
2009-08,22
2009-09,34
2009-10,29
2009-11,32
2009-12,24
2010-01,24
2010-02,26
2010-03,33
2010-04,30
2010-05,46
2010-06,35
2010-07,30
2010-08,42
2010-09,36
2010-10,35
2010-11,39
2010-12,40
2011-01,95
2011-02,38
2011-03,38
2011-04,36
2011-05,50
2011-06,41
2011-07,30
2011-08,39
2011-09,40
2011-10,48
2011-11,39
2011-12,30
2012-01,29
2012-02,26
2012-03,28
2012-04,25
2012-05,24
2012-06,30
2012-07,30
2012-08,31
2012-09,28
2012-10,32
2012-11,38
2012-12,26
2013-01,31
2013-02,26
2013-03,23
2013-04,26
2013-05,25
2013-06,56
2013-07,34
2013-08,29
2013-09,38
2013-10,26
2013-11,25
2013-12,29
2014-01,33
2014-02,43
2014-03,26
2014-04,26
2014-05,26
2014-06,26
2014-07,26
2014-08,26
2014-09,35
2014-10,23
2014-11,23
2014-12,24
2015-01,22
2015-02,22
2015-03,24
2015-04,24
2015-05,35
2015-06,31
2015-07,24
2015-08,26
2015-09,27
2015-10,32
2015-11,26
2015-12,53
2016-01,31
2016-02,24
2016-03,26
2016-04,27
2016-05,25
2016-06,33
2016-07,26
2016-08,40
2016-09,30
2016-10,31
2016-11,36
2016-12,22
2017-01,30
2017-02,27
2017-03,24
2017-04,26
2017-05,29
2017-06,23
2017-07,29
2017-08,58
2017-09,49
2017-10,26
2017-11,26
2017-12,21
2018-01,24
2018-02,29
2018-03,25
2018-04,25
2018-05,28
2018-06,24
2018-07,29
2018-08,58
2018-09,41
2018-10,28
2018-11,24
2018-12,22
2019-01,22
2019-02,27
2019-03,29
2019-04,26
2019-05,26
2019-06,26
2019-07,30
2019-08,35
2019-09,31
2019-10,27
2019-11,32
2019-12,23
2020-01,24
2020-02,38
2020-03,21
2020-04,20
2020-05,24
2020-06,24
2020-07,27
2020-08,31
2020-09,24
2020-10,23
2020-11,23
2020-12,22
2021-01,23
2021-02,22
2021-03,26
2021-04,21
2021-05,22
2021-06,26
2021-07,46
2021-08,43
2021-09,42
2021-10,29
2021-11,30
2021-12,25
2022-01,22
2022-02,32
2022-03,35
2022-04,25
2022-05,25
2022-06,27
2022-07,32
2022-08,40
2022-09,37
2022-10,33
2022-11,27
2022-12,22
2023-01,32
2023-02,26
2023-03,29
2023-04,26
2023-05,26
2023-06,27
2023-07,52
2023-08,37
2023-09,35
2023-10,31
2023-11,25
2023-12,32
2024-01,41
2024-02,35
2024-03,25
2024-04,36
2024-05,32
2024-06,34
2024-07,43
2024-08,46
2024-09,54
2024-10,51
2024-11,35
2024-12,26
2025-01,29
2025-02,33
2025-03,33
2025-04,35
2025-05,34
2025-06,36
2025-07,100
2025-08,78
2025-09,74
2025-10,48
2025-11,48
2025-12,65
2026-01,45
2026-02,56
2026-03,53
2026-04,57
2026-05,67
2026-06,71
2026-07,73
