# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,hero + warrior + savior: (Worldwide)
2004-01,33
2004-02,31
2004-03,31
2004-04,33
2004-05,36
2004-06,36
2004-07,36
2004-08,46
2004-09,45
2004-10,44
2004-11,39
2004-12,47
2005-01,42
2005-02,39
2005-03,38
2005-04,38
2005-05,37
2005-06,33
2005-07,36
2005-08,35
2005-09,35
2005-10,38
2005-11,37
2005-12,39
2006-01,35
2006-02,37
2006-03,35
2006-04,37
2006-05,38
2006-06,39
2006-07,43
2006-08,41
2006-09,40
2006-10,44
2006-11,45
2006-12,47
2007-01,45
2007-02,43
2007-03,44
2007-04,55
2007-05,52
2007-06,55
2007-07,59
2007-08,60
2007-09,56
2007-10,69
2007-11,86
2007-12,100
2008-01,77
2008-02,68
2008-03,70
2008-04,59
2008-05,68
2008-06,76
2008-07,77
2008-08,72
2008-09,64
2008-10,74
2008-11,84
2008-12,93
2009-01,77
2009-02,70
2009-03,65
2009-04,71
2009-05,73
2009-06,72
2009-07,83
2009-08,82
2009-09,86
2009-10,89
2009-11,90
2009-12,97
2010-01,82
2010-02,77
2010-03,73
2010-04,72
2010-05,73
2010-06,76
2010-07,77
2010-08,73
2010-09,66
2010-10,71
2010-11,65
2010-12,75
2011-01,65
2011-02,66
2011-03,57
2011-04,59
2011-05,60
2011-06,62
2011-07,63
2011-08,65
2011-09,63
2011-10,61
2011-11,62
2011-12,71
2012-01,70
2012-02,60
2012-03,56
2012-04,59
2012-05,58
2012-06,58
2012-07,61
2012-08,58
2012-09,58
2012-10,57
2012-11,57
2012-12,63
2013-01,54
2013-02,54
2013-03,55
2013-04,51
2013-05,56
2013-06,52
2013-07,58
2013-08,58
2013-09,65
2013-10,58
2013-11,58
2013-12,60
2014-01,54
2014-02,54
2014-03,63
2014-04,89
2014-05,65
2014-06,63
2014-07,65
2014-08,61
2014-09,58
2014-10,59
2014-11,81
2014-12,72
2015-01,71
2015-02,73
2015-03,67
2015-04,65
2015-05,68
2015-06,63
2015-07,68
2015-08,75
2015-09,83
2015-10,69
2015-11,68
2015-12,70
2016-01,63
2016-02,64
2016-03,59
2016-04,65
2016-05,68
2016-06,68
2016-07,64
2016-08,54
2016-09,58
2016-10,63
2016-11,56
2016-12,62
2017-01,57
2017-02,56
2017-03,60
2017-04,61
2017-05,60
2017-06,66
2017-07,73
2017-08,64
2017-09,60
2017-10,60
2017-11,58
2017-12,62
2018-01,57
2018-02,56
2018-03,60
2018-04,66
2018-05,66
2018-06,70
2018-07,72
2018-08,68
2018-09,70
2018-10,68
2018-11,66
2018-12,61
2019-01,63
2019-02,62
2019-03,58
2019-04,58
2019-05,58
2019-06,62
2019-07,58
2019-08,58
2019-09,55
2019-10,58
2019-11,59
2019-12,60
2020-01,63
2020-02,58
2020-03,59
2020-04,65
2020-05,65
2020-06,63
2020-07,78
2020-08,70
2020-09,68
2020-10,64
2020-11,64
2020-12,66
2021-01,65
2021-02,67
2021-03,66
2021-04,65
2021-05,64
2021-06,68
2021-07,67
2021-08,64
2021-09,57
2021-10,57
2021-11,58
2021-12,58
2022-01,67
2022-02,66
2022-03,64
2022-04,63
2022-05,58
2022-06,68
2022-07,65
2022-08,68
2022-09,60
2022-10,68
2022-11,63
2022-12,67
2023-01,65
2023-02,65
2023-03,60
2023-04,58
2023-05,54
2023-06,55
2023-07,54
2023-08,55
2023-09,53
2023-10,54
2023-11,52
2023-12,58
2024-01,54
2024-02,53
2024-03,56
2024-04,55
2024-05,56
2024-06,55
2024-07,57
2024-08,59
2024-09,56
2024-10,54
2024-11,53
2024-12,57
2025-01,54
2025-02,53
2025-03,53
2025-04,63
2025-05,60
2025-06,54
2025-07,57
2025-08,63
2025-09,63
2025-10,71
2025-11,62
2025-12,67
2026-01,65
2026-02,65
2026-03,62
2026-04,73
2026-05,75
2026-06,66
2026-07,57
