# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,mandala + the wheel: (Worldwide)
2004-01,27
2004-02,26
2004-03,25
2004-04,25
2004-05,24
2004-06,23
2004-07,22
2004-08,23
2004-09,24
2004-10,24
2004-11,28
2004-12,26
2005-01,23
2005-02,25
2005-03,23
2005-04,23
2005-05,21
2005-06,22
2005-07,21
2005-08,23
2005-09,29
2005-10,25
2005-11,31
2005-12,35
2006-01,32
2006-02,33
2006-03,33
2006-04,30
2006-05,31
2006-06,26
2006-07,23
2006-08,24
2006-09,25
2006-10,27
2006-11,27
2006-12,27
2007-01,26
2007-02,27
2007-03,27
2007-04,27
2007-05,26
2007-06,27
2007-07,24
2007-08,24
2007-09,27
2007-10,29
2007-11,29
2007-12,30
2008-01,27
2008-02,30
2008-03,28
2008-04,27
2008-05,28
2008-06,28
2008-07,27
2008-08,27
2008-09,29
2008-10,31
2008-11,32
2008-12,32
2009-01,29
2009-02,30
2009-03,33
2009-04,31
2009-05,29
2009-06,30
2009-07,30
2009-08,30
2009-09,27
2009-10,32
2009-11,33
2009-12,33
2010-01,30
2010-02,31
2010-03,31
2010-04,31
2010-05,33
2010-06,31
2010-07,32
2010-08,31
2010-09,33
2010-10,33
2010-11,35
2010-12,35
2011-01,33
2011-02,28
2011-03,28
2011-04,27
2011-05,27
2011-06,27
2011-07,26
2011-08,25
2011-09,27
2011-10,27
2011-11,29
2011-12,28
2012-01,27
2012-02,28
2012-03,27
2012-04,29
2012-05,27
2012-06,29
2012-07,30
2012-08,28
2012-09,29
2012-10,29
2012-11,31
2012-12,31
2013-01,32
2013-02,32
2013-03,32
2013-04,31
2013-05,31
2013-06,32
2013-07,30
2013-08,31
2013-09,31
2013-10,31
2013-11,33
2013-12,35
2014-01,32
2014-02,34
2014-03,33
2014-04,32
2014-05,33
2014-06,31
2014-07,32
2014-08,32
2014-09,32
2014-10,35
2014-11,35
2014-12,34
2015-01,35
2015-02,39
2015-03,38
2015-04,40
2015-05,38
2015-06,38
2015-07,41
2015-08,42
2015-09,41
2015-10,44
2015-11,43
2015-12,42
2016-01,44
2016-02,48
2016-03,53
2016-04,44
2016-05,45
2016-06,47
2016-07,45
2016-08,44
2016-09,47
2016-10,47
2016-11,46
2016-12,50
2017-01,49
2017-02,47
2017-03,47
2017-04,47
2017-05,43
2017-06,42
2017-07,45
2017-08,45
2017-09,44
2017-10,49
2017-11,46
2017-12,45
2018-01,47
2018-02,46
2018-03,45
2018-04,43
2018-05,41
2018-06,42
2018-07,42
2018-08,41
2018-09,43
2018-10,43
2018-11,45
2018-12,41
2019-01,42
2019-02,44
2019-03,41
2019-04,42
2019-05,40
2019-06,43
2019-07,40
2019-08,41
2019-09,42
2019-10,42
2019-11,44
2019-12,38
2020-01,41
2020-02,41
2020-03,43
2020-04,49
2020-05,48
2020-06,47
2020-07,48
2020-08,45
2020-09,45
2020-10,45
2020-11,42
2020-12,45
2021-01,44
2021-02,46
2021-03,44
2021-04,46
2021-05,47
2021-06,44
2021-07,46
2021-08,45
2021-09,45
2021-10,46
2021-11,65
2021-12,67
2022-01,62
2022-02,55
2022-03,56
2022-04,53
2022-05,52
2022-06,51
2022-07,54
2022-08,50
2022-09,52
2022-10,53
2022-11,50
2022-12,52
2023-01,54
2023-02,52
2023-03,55
2023-04,53
2023-05,52
2023-06,52
2023-07,51
2023-08,51
2023-09,64
2023-10,55
2023-11,55
2023-12,52
2024-01,50
2024-02,55
2024-03,55
2024-04,53
2024-05,52
2024-06,55
2024-07,50
2024-08,53
2024-09,53
2024-10,53
2024-11,55
2024-12,56
2025-01,57
2025-02,59
2025-03,66
2025-04,64
2025-05,61
2025-06,58
2025-07,68
2025-08,73
2025-09,71
2025-10,69
2025-11,75
2025-12,75
2026-01,72
2026-02,94
2026-03,82
2026-04,94
2026-05,100
2026-06,93
2026-07,72
