# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,kali + gaia + the witch: (Worldwide)
2004-01,24
2004-02,28
2004-03,30
2004-04,27
2004-05,30
2004-06,29
2004-07,28
2004-08,30
2004-09,34
2004-10,36
2004-11,34
2004-12,33
2005-01,32
2005-02,35
2005-03,33
2005-04,34
2005-05,35
2005-06,33
2005-07,34
2005-08,33
2005-09,37
2005-10,42
2005-11,46
2005-12,52
2006-01,40
2006-02,36
2006-03,36
2006-04,39
2006-05,38
2006-06,36
2006-07,36
2006-08,37
2006-09,38
2006-10,44
2006-11,39
2006-12,40
2007-01,37
2007-02,38
2007-03,38
2007-04,40
2007-05,40
2007-06,43
2007-07,46
2007-08,45
2007-09,44
2007-10,47
2007-11,43
2007-12,46
2008-01,42
2008-02,41
2008-03,44
2008-04,39
2008-05,43
2008-06,45
2008-07,46
2008-08,46
2008-09,42
2008-10,44
2008-11,44
2008-12,43
2009-01,41
2009-02,41
2009-03,40
2009-04,40
2009-05,41
2009-06,40
2009-07,43
2009-08,44
2009-09,41
2009-10,44
2009-11,40
2009-12,39
2010-01,38
2010-02,38
2010-03,38
2010-04,40
2010-05,39
2010-06,40
2010-07,39
2010-08,40
2010-09,36
2010-10,41
2010-11,38
2010-12,40
2011-01,55
2011-02,43
2011-03,44
2011-04,42
2011-05,39
2011-06,38
2011-07,39
2011-08,38
2011-09,39
2011-10,41
2011-11,35
2011-12,36
2012-01,35
2012-02,34
2012-03,34
2012-04,35
2012-05,34
2012-06,34
2012-07,36
2012-08,35
2012-09,36
2012-10,38
2012-11,35
2012-12,34
2013-01,35
2013-02,35
2013-03,38
2013-04,40
2013-05,37
2013-06,38
2013-07,40
2013-08,39
2013-09,43
2013-10,48
2013-11,42
2013-12,42
2014-01,44
2014-02,43
2014-03,44
2014-04,44
2014-05,45
2014-06,43
2014-07,45
2014-08,48
2014-09,50
2014-10,53
2014-11,48
2014-12,47
2015-01,50
2015-02,52
2015-03,50
2015-04,50
2015-05,50
2015-06,48
2015-07,47
2015-08,56
2015-09,58
2015-10,72
2015-11,70
2015-12,58
2016-01,61
2016-02,81
2016-03,72
2016-04,73
2016-05,75
2016-06,68
2016-07,64
2016-08,64
2016-09,76
2016-10,77
2016-11,65
2016-12,63
2017-01,65
2017-02,62
2017-03,63
2017-04,61
2017-05,61
2017-06,58
2017-07,61
2017-08,60
2017-09,63
2017-10,68
2017-11,62
2017-12,56
2018-01,55
2018-02,58
2018-03,66
2018-04,61
2018-05,69
2018-06,61
2018-07,62
2018-08,66
2018-09,72
2018-10,89
2018-11,84
2018-12,68
2019-01,68
2019-02,69
2019-03,69
2019-04,74
2019-05,63
2019-06,63
2019-07,63
2019-08,66
2019-09,68
2019-10,80
2019-11,70
2019-12,65
2020-01,66
2020-02,68
2020-03,68
2020-04,82
2020-05,73
2020-06,79
2020-07,66
2020-08,76
2020-09,88
2020-10,89
2020-11,83
2020-12,81
2021-01,67
2021-02,77
2021-03,89
2021-04,72
2021-05,72
2021-06,77
2021-07,66
2021-08,72
2021-09,81
2021-10,85
2021-11,79
2021-12,75
2022-01,75
2022-02,86
2022-03,94
2022-04,82
2022-05,82
2022-06,79
2022-07,83
2022-08,80
2022-09,88
2022-10,100
2022-11,81
2022-12,80
2023-01,75
2023-02,89
2023-03,84
2023-04,79
2023-05,84
2023-06,80
2023-07,71
2023-08,74
2023-09,79
2023-10,89
2023-11,79
2023-12,77
2024-01,77
2024-02,72
2024-03,73
2024-04,70
2024-05,75
2024-06,72
2024-07,71
2024-08,71
2024-09,78
2024-10,91
2024-11,79
2024-12,80
2025-01,73
2025-02,79
2025-03,76
2025-04,73
2025-05,79
2025-06,72
2025-07,74
2025-08,82
2025-09,92
2025-10,96
2025-11,85
2025-12,85
2026-01,86
2026-02,84
2026-03,85
2026-04,91
2026-05,93
2026-06,93
2026-07,83
