# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,snake + serpent: (Worldwide)
2004-01,29
2004-02,25
2004-03,28
2004-04,29
2004-05,34
2004-06,27
2004-07,25
2004-08,25
2004-09,26
2004-10,26
2004-11,27
2004-12,27
2005-01,24
2005-02,25
2005-03,27
2005-04,27
2005-05,30
2005-06,28
2005-07,25
2005-08,23
2005-09,25
2005-10,29
2005-11,22
2005-12,22
2006-01,23
2006-02,23
2006-03,24
2006-04,26
2006-05,28
2006-06,26
2006-07,24
2006-08,26
2006-09,25
2006-10,24
2006-11,19
2006-12,19
2007-01,21
2007-02,25
2007-03,27
2007-04,25
2007-05,27
2007-06,28
2007-07,27
2007-08,24
2007-09,24
2007-10,24
2007-11,23
2007-12,23
2008-01,24
2008-02,25
2008-03,25
2008-04,25
2008-05,28
2008-06,28
2008-07,26
2008-08,26
2008-09,26
2008-10,26
2008-11,24
2008-12,24
2009-01,26
2009-02,29
2009-03,29
2009-04,29
2009-05,32
2009-06,28
2009-07,27
2009-08,28
2009-09,27
2009-10,26
2009-11,25
2009-12,24
2010-01,23
2010-02,23
2010-03,24
2010-04,26
2010-05,28
2010-06,26
2010-07,24
2010-08,26
2010-09,24
2010-10,24
2010-11,24
2010-12,28
2011-01,26
2011-02,24
2011-03,26
2011-04,28
2011-05,29
2011-06,27
2011-07,26
2011-08,25
2011-09,26
2011-10,25
2011-11,24
2011-12,23
2012-01,25
2012-02,25
2012-03,27
2012-04,28
2012-05,32
2012-06,28
2012-07,28
2012-08,28
2012-09,28
2012-10,26
2012-11,24
2012-12,24
2013-01,28
2013-02,32
2013-03,27
2013-04,28
2013-05,29
2013-06,30
2013-07,28
2013-08,30
2013-09,26
2013-10,26
2013-11,25
2013-12,24
2014-01,27
2014-02,25
2014-03,30
2014-04,31
2014-05,31
2014-06,29
2014-07,29
2014-08,28
2014-09,29
2014-10,26
2014-11,27
2014-12,27
2015-01,25
2015-02,26
2015-03,27
2015-04,32
2015-05,34
2015-06,35
2015-07,33
2015-08,34
2015-09,35
2015-10,34
2015-11,29
2015-12,31
2016-01,32
2016-02,33
2016-03,32
2016-04,36
2016-05,38
2016-06,37
2016-07,33
2016-08,32
2016-09,35
2016-10,33
2016-11,33
2016-12,31
2017-01,32
2017-02,32
2017-03,33
2017-04,35
2017-05,35
2017-06,32
2017-07,33
2017-08,31
2017-09,40
2017-10,39
2017-11,37
2017-12,35
2018-01,35
2018-02,40
2018-03,39
2018-04,40
2018-05,51
2018-06,40
2018-07,35
2018-08,36
2018-09,47
2018-10,49
2018-11,50
2018-12,44
2019-01,45
2019-02,49
2019-03,51
2019-04,56
2019-05,63
2019-06,45
2019-07,38
2019-08,44
2019-09,61
2019-10,67
2019-11,64
2019-12,57
2020-01,69
2020-02,64
2020-03,50
2020-04,47
2020-05,47
2020-06,44
2020-07,41
2020-08,42
2020-09,57
2020-10,43
2020-11,37
2020-12,38
2021-01,45
2021-02,40
2021-03,42
2021-04,60
2021-05,53
2021-06,49
2021-07,48
2021-08,52
2021-09,63
2021-10,66
2021-11,69
2021-12,61
2022-01,52
2022-02,53
2022-03,59
2022-04,72
2022-05,73
2022-06,51
2022-07,44
2022-08,51
2022-09,71
2022-10,67
2022-11,56
2022-12,51
2023-01,55
2023-02,56
2023-03,55
2023-04,51
2023-05,56
2023-06,46
2023-07,41
2023-08,49
2023-09,61
2023-10,61
2023-11,56
2023-12,51
2024-01,52
2024-02,64
2024-03,60
2024-04,61
2024-05,61
2024-06,48
2024-07,43
2024-08,55
2024-09,69
2024-10,65
2024-11,62
2024-12,61
2025-01,100
2025-02,72
2025-03,66
2025-04,60
2025-05,64
2025-06,48
2025-07,43
2025-08,60
2025-09,76
2025-10,71
2025-11,70
2025-12,69
2026-01,66
2026-02,79
2026-03,68
2026-04,69
2026-05,68
2026-06,48
2026-07,42
