# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,shadow + doppelganger: (Worldwide)
2004-01,55
2004-02,57
2004-03,59
2004-04,58
2004-05,58
2004-06,58
2004-07,58
2004-08,58
2004-09,58
2004-10,58
2004-11,51
2004-12,50
2005-01,51
2005-02,56
2005-03,55
2005-04,55
2005-05,53
2005-06,52
2005-07,55
2005-08,54
2005-09,51
2005-10,59
2005-11,65
2005-12,62
2006-01,58
2006-02,63
2006-03,59
2006-04,57
2006-05,52
2006-06,55
2006-07,56
2006-08,56
2006-09,52
2006-10,51
2006-11,46
2006-12,46
2007-01,46
2007-02,53
2007-03,54
2007-04,52
2007-05,51
2007-06,54
2007-07,53
2007-08,52
2007-09,49
2007-10,51
2007-11,54
2007-12,58
2008-01,53
2008-02,57
2008-03,56
2008-04,56
2008-05,56
2008-06,61
2008-07,57
2008-08,55
2008-09,51
2008-10,48
2008-11,47
2008-12,51
2009-01,50
2009-02,52
2009-03,49
2009-04,51
2009-05,53
2009-06,51
2009-07,52
2009-08,59
2009-09,50
2009-10,48
2009-11,47
2009-12,47
2010-01,52
2010-02,72
2010-03,50
2010-04,50
2010-05,52
2010-06,51
2010-07,48
2010-08,50
2010-09,50
2010-10,57
2010-11,47
2010-12,50
2011-01,51
2011-02,51
2011-03,49
2011-04,51
2011-05,51
2011-06,53
2011-07,52
2011-08,51
2011-09,49
2011-10,48
2011-11,45
2011-12,50
2012-01,51
2012-02,53
2012-03,51
2012-04,52
2012-05,49
2012-06,51
2012-07,54
2012-08,50
2012-09,47
2012-10,49
2012-11,46
2012-12,45
2013-01,48
2013-02,55
2013-03,51
2013-04,53
2013-05,51
2013-06,51
2013-07,51
2013-08,57
2013-09,52
2013-10,52
2013-11,56
2013-12,55
2014-01,64
2014-02,64
2014-03,61
2014-04,57
2014-05,59
2014-06,58
2014-07,55
2014-08,55
2014-09,62
2014-10,86
2014-11,65
2014-12,65
2015-01,65
2015-02,63
2015-03,56
2015-04,57
2015-05,57
2015-06,54
2015-07,53
2015-08,52
2015-09,59
2015-10,55
2015-11,56
2015-12,60
2016-01,59
2016-02,61
2016-03,55
2016-04,58
2016-05,56
2016-06,58
2016-07,56
2016-08,51
2016-09,55
2016-10,58
2016-11,52
2016-12,60
2017-01,58
2017-02,65
2017-03,63
2017-04,59
2017-05,58
2017-06,58
2017-07,60
2017-08,58
2017-09,56
2017-10,81
2017-11,66
2017-12,63
2018-01,61
2018-02,72
2018-03,59
2018-04,57
2018-05,53
2018-06,52
2018-07,54
2018-08,54
2018-09,65
2018-10,57
2018-11,55
2018-12,57
2019-01,53
2019-02,62
2019-03,58
2019-04,51
2019-05,53
2019-06,52
2019-07,53
2019-08,52
2019-09,53
2019-10,53
2019-11,53
2019-12,56
2020-01,56
2020-02,63
2020-03,67
2020-04,68
2020-05,70
2020-06,62
2020-07,65
2020-08,60
2020-09,58
2020-10,57
2020-11,58
2020-12,58
2021-01,61
2021-02,64
2021-03,57
2021-04,81
2021-05,79
2021-06,81
2021-07,85
2021-08,82
2021-09,80
2021-10,78
2021-11,77
2021-12,82
2022-01,81
2022-02,81
2022-03,73
2022-04,76
2022-05,74
2022-06,76
2022-07,75
2022-08,77
2022-09,71
2022-10,73
2022-11,72
2022-12,73
2023-01,76
2023-02,83
2023-03,81
2023-04,69
2023-05,67
2023-06,67
2023-07,64
2023-08,63
2023-09,65
2023-10,73
2023-11,64
2023-12,65
2024-01,68
2024-02,75
2024-03,66
2024-04,61
2024-05,64
2024-06,90
2024-07,73
2024-08,71
2024-09,66
2024-10,72
2024-11,68
2024-12,75
2025-01,81
2025-02,82
2025-03,83
2025-04,69
2025-05,70
2025-06,70
2025-07,71
2025-08,74
2025-09,74
2025-10,69
2025-11,73
2025-12,77
2026-01,75
2026-02,92
2026-03,80
2026-04,100
2026-05,97
2026-06,86
2026-07,73
