# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,sun: (Worldwide),moon: (Worldwide)
2004-01,92,42
2004-02,94,42
2004-03,91,42
2004-04,97,40
2004-05,88,40
2004-06,100,37
2004-07,91,40
2004-08,87,38
2004-09,78,40
2004-10,82,39
2004-11,76,36
2004-12,77,35
2005-01,83,38
2005-02,81,36
2005-03,75,35
2005-04,81,35
2005-05,86,34
2005-06,84,35
2005-07,86,40
2005-08,85,38
2005-09,77,36
2005-10,80,37
2005-11,73,36
2005-12,70,34
2006-01,79,34
2006-02,74,34
2006-03,77,35
2006-04,79,34
2006-05,79,33
2006-06,84,31
2006-07,80,32
2006-08,77,32
2006-09,71,33
2006-10,67,32
2006-11,66,30
2006-12,63,31
2007-01,72,29
2007-02,74,30
2007-03,74,32
2007-04,74,30
2007-05,72,31
2007-06,74,31
2007-07,78,30
2007-08,76,32
2007-09,72,31
2007-10,69,33
2007-11,70,27
2007-12,68,31
2008-01,74,31
2008-02,72,32
2008-03,74,30
2008-04,75,29
2008-05,74,29
2008-06,83,29
2008-07,76,30
2008-08,80,30
2008-09,75,30
2008-10,70,30
2008-11,71,31
2008-12,70,37
2009-01,81,37
2009-02,78,36
2009-03,80,41
2009-04,84,44
2009-05,80,49
2009-06,81,58
2009-07,85,54
2009-08,87,51
2009-09,77,53
2009-10,75,61
2009-11,72,98
2009-12,69,60
2010-01,78,46
2010-02,77,38
2010-03,81,41
2010-04,77,34
2010-05,79,33
2010-06,87,32
2010-07,77,34
2010-08,81,32
2010-09,69,32
2010-10,71,32
2010-11,72,33
2010-12,71,35
2011-01,71,32
2011-02,71,30
2011-03,72,40
2011-04,76,33
2011-05,72,32
2011-06,77,36
2011-07,76,39
2011-08,76,36
2011-09,69,35
2011-10,70,34
2011-11,65,33
2011-12,64,32
2012-01,69,33
2012-02,70,33
2012-03,75,34
2012-04,68,31
2012-05,70,35
2012-06,77,31
2012-07,75,35
2012-08,72,37
2012-09,67,36
2012-10,65,32
2012-11,63,30
2012-12,64,32
2013-01,68,30
2013-02,67,28
2013-03,64,29
2013-04,71,30
2013-05,75,28
2013-06,67,34
2013-07,77,31
2013-08,61,32
2013-09,54,30
2013-10,50,30
2013-11,48,28
2013-12,46,29
2014-01,51,31
2014-02,51,30
2014-03,54,33
2014-04,53,43
2014-05,54,31
2014-06,54,32
2014-07,54,35
2014-08,52,34
2014-09,50,32
2014-10,47,37
2014-11,47,29
2014-12,44,29
2015-01,49,30
2015-02,47,31
2015-03,49,34
2015-04,52,35
2015-05,52,30
2015-06,52,30
2015-07,52,37
2015-08,52,36
2015-09,45,52
2015-10,45,32
2015-11,44,30
2015-12,45,28
2016-01,45,30
2016-02,47,32
2016-03,57,30
2016-04,65,30
2016-05,62,34
2016-06,57,34
2016-07,57,33
2016-08,55,31
2016-09,49,38
2016-10,52,40
2016-11,63,61
2016-12,62,45
2017-01,57,38
2017-02,56,35
2017-03,55,32
2017-04,55,34
2017-05,60,31
2017-06,58,32
2017-07,62,32
2017-08,58,34
2017-09,50,31
2017-10,47,36
2017-11,52,36
2017-12,51,35
2018-01,55,48
2018-02,54,34
2018-03,53,32
2018-04,57,32
2018-05,58,31
2018-06,59,31
2018-07,61,38
2018-08,54,30
2018-09,50,30
2018-10,47,32
2018-11,47,28
2018-12,47,30
2019-01,50,43
2019-02,50,30
2019-03,50,29
2019-04,53,28
2019-05,55,29
2019-06,56,32
2019-07,55,38
2019-08,51,32
2019-09,51,39
2019-10,44,34
2019-11,45,31
2019-12,45,32
2020-01,49,34
2020-02,47,32
2020-03,47,28
2020-04,55,40
2020-05,59,38
2020-06,56,34
2020-07,54,34
2020-08,50,34
2020-09,47,34
2020-10,45,38
2020-11,43,34
2020-12,45,33
2021-01,45,35
2021-02,46,35
2021-03,47,36
2021-04,52,43
2021-05,54,39
2021-06,56,34
2021-07,52,35
2021-08,48,34
2021-09,47,32
2021-10,44,35
2021-11,43,34
2021-12,44,32
2022-01,47,58
2022-02,49,38
2022-03,49,43
2022-04,52,60
2022-05,54,50
2022-06,52,38
2022-07,52,38
2022-08,48,37
2022-09,45,36
2022-10,41,39
2022-11,40,39
2022-12,40,37
2023-01,45,39
2023-02,45,39
2023-03,45,46
2023-04,49,45
2023-05,50,37
2023-06,52,36
2023-07,51,41
2023-08,47,53
2023-09,45,40
2023-10,42,44
2023-11,40,42
2023-12,43,45
2024-01,43,43
2024-02,43,39
2024-03,45,39
2024-04,52,42
2024-05,51,35
2024-06,51,36
2024-07,49,38
2024-08,45,41
2024-09,43,39
2024-10,40,39
2024-11,40,34
2024-12,39,37
2025-01,40,38
2025-02,43,38
2025-03,45,45
2025-04,45,36
2025-05,50,34
2025-06,50,35
2025-07,49,35
2025-08,49,43
2025-09,45,50
2025-10,43,44
2025-11,43,40
2025-12,42,39
2026-01,45,39
2026-02,51,44
2026-03,54,47
2026-04,65,56
2026-05,63,44
2026-06,61,39
2026-07,55,34
