# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,tower + fortress + the wall: (Worldwide)
2004-01,65
2004-02,63
2004-03,64
2004-04,61
2004-05,65
2004-06,58
2004-07,57
2004-08,56
2004-09,60
2004-10,57
2004-11,62
2004-12,60
2005-01,58
2005-02,60
2005-03,60
2005-04,60
2005-05,61
2005-06,58
2005-07,59
2005-08,55
2005-09,53
2005-10,56
2005-11,54
2005-12,55
2006-01,53
2006-02,53
2006-03,54
2006-04,55
2006-05,56
2006-06,53
2006-07,53
2006-08,51
2006-09,53
2006-10,52
2006-11,50
2006-12,50
2007-01,51
2007-02,52
2007-03,54
2007-04,53
2007-05,54
2007-06,54
2007-07,53
2007-08,51
2007-09,58
2007-10,60
2007-11,58
2007-12,57
2008-01,58
2008-02,59
2008-03,57
2008-04,58
2008-05,59
2008-06,58
2008-07,55
2008-08,56
2008-09,58
2008-10,59
2008-11,60
2008-12,63
2009-01,60
2009-02,62
2009-03,57
2009-04,56
2009-05,60
2009-06,58
2009-07,57
2009-08,58
2009-09,56
2009-10,61
2009-11,68
2009-12,69
2010-01,66
2010-02,62
2010-03,61
2010-04,60
2010-05,66
2010-06,64
2010-07,62
2010-08,59
2010-09,60
2010-10,61
2010-11,60
2010-12,59
2011-01,58
2011-02,57
2011-03,58
2011-04,64
2011-05,64
2011-06,68
2011-07,66
2011-08,64
2011-09,64
2011-10,62
2011-11,64
2011-12,64
2012-01,61
2012-02,66
2012-03,64
2012-04,66
2012-05,63
2012-06,58
2012-07,60
2012-08,56
2012-09,56
2012-10,56
2012-11,56
2012-12,56
2013-01,52
2013-02,54
2013-03,58
2013-04,56
2013-05,56
2013-06,53
2013-07,55
2013-08,53
2013-09,53
2013-10,52
2013-11,56
2013-12,56
2014-01,67
2014-02,61
2014-03,60
2014-04,56
2014-05,58
2014-06,53
2014-07,53
2014-08,56
2014-09,52
2014-10,55
2014-11,61
2014-12,52
2015-01,50
2015-02,51
2015-03,52
2015-04,52
2015-05,52
2015-06,50
2015-07,50
2015-08,49
2015-09,54
2015-10,51
2015-11,54
2015-12,50
2016-01,50
2016-02,51
2016-03,50
2016-04,53
2016-05,54
2016-06,53
2016-07,51
2016-08,48
2016-09,50
2016-10,48
2016-11,54
2016-12,53
2017-01,55
2017-02,61
2017-03,56
2017-04,53
2017-05,54
2017-06,65
2017-07,54
2017-08,65
2017-09,53
2017-10,53
2017-11,54
2017-12,49
2018-01,53
2018-02,50
2018-03,50
2018-04,50
2018-05,50
2018-06,49
2018-07,46
2018-08,48
2018-09,49
2018-10,49
2018-11,48
2018-12,49
2019-01,53
2019-02,49
2019-03,49
2019-04,49
2019-05,47
2019-06,47
2019-07,48
2019-08,47
2019-09,48
2019-10,48
2019-11,60
2019-12,45
2020-01,45
2020-02,45
2020-03,42
2020-04,46
2020-05,46
2020-06,47
2020-07,47
2020-08,47
2020-09,44
2020-10,45
2020-11,44
2020-12,42
2021-01,45
2021-02,42
2021-03,43
2021-04,42
2021-05,43
2021-06,46
2021-07,47
2021-08,45
2021-09,44
2021-10,43
2021-11,45
2021-12,45
2022-01,48
2022-02,49
2022-03,54
2022-04,54
2022-05,50
2022-06,49
2022-07,51
2022-08,76
2022-09,56
2022-10,51
2022-11,48
2022-12,51
2023-01,50
2023-02,54
2023-03,51
2023-04,53
2023-05,54
2023-06,54
2023-07,52
2023-08,58
2023-09,55
2023-10,52
2023-11,51
2023-12,53
2024-01,55
2024-02,55
2024-03,55
2024-04,52
2024-05,55
2024-06,55
2024-07,60
2024-08,58
2024-09,58
2024-10,57
2024-11,54
2024-12,56
2025-01,57
2025-02,55
2025-03,58
2025-04,53
2025-05,60
2025-06,57
2025-07,64
2025-08,70
2025-09,71
2025-10,68
2025-11,67
2025-12,69
2026-01,72
2026-02,87
2026-03,77
2026-04,91
2026-05,100
2026-06,92
2026-07,71
