# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,prophet + oracle + the sage: (Worldwide)
2004-01,92
2004-02,93
2004-03,93
2004-04,94
2004-05,91
2004-06,91
2004-07,96
2004-08,100
2004-09,93
2004-10,89
2004-11,85
2004-12,85
2005-01,83
2005-02,85
2005-03,87
2005-04,85
2005-05,81
2005-06,85
2005-07,81
2005-08,80
2005-09,82
2005-10,79
2005-11,76
2005-12,71
2006-01,70
2006-02,94
2006-03,76
2006-04,72
2006-05,68
2006-06,70
2006-07,70
2006-08,69
2006-09,65
2006-10,67
2006-11,64
2006-12,57
2007-01,61
2007-02,62
2007-03,66
2007-04,60
2007-05,60
2007-06,63
2007-07,61
2007-08,62
2007-09,55
2007-10,62
2007-11,59
2007-12,52
2008-01,55
2008-02,58
2008-03,55
2008-04,58
2008-05,52
2008-06,56
2008-07,56
2008-08,53
2008-09,54
2008-10,51
2008-11,48
2008-12,47
2009-01,47
2009-02,51
2009-03,51
2009-04,51
2009-05,50
2009-06,50
2009-07,50
2009-08,49
2009-09,49
2009-10,48
2009-11,50
2009-12,44
2010-01,44
2010-02,50
2010-03,48
2010-04,48
2010-05,46
2010-06,50
2010-07,45
2010-08,45
2010-09,45
2010-10,43
2010-11,43
2010-12,41
2011-01,40
2011-02,42
2011-03,45
2011-04,39
2011-05,41
2011-06,42
2011-07,39
2011-08,41
2011-09,40
2011-10,37
2011-11,38
2011-12,35
2012-01,36
2012-02,39
2012-03,36
2012-04,35
2012-05,37
2012-06,36
2012-07,38
2012-08,36
2012-09,40
2012-10,38
2012-11,34
2012-12,31
2013-01,33
2013-02,34
2013-03,36
2013-04,34
2013-05,34
2013-06,35
2013-07,35
2013-08,33
2013-09,36
2013-10,35
2013-11,34
2013-12,30
2014-01,35
2014-02,35
2014-03,34
2014-04,35
2014-05,32
2014-06,31
2014-07,33
2014-08,31
2014-09,32
2014-10,32
2014-11,31
2014-12,29
2015-01,31
2015-02,33
2015-03,32
2015-04,33
2015-05,30
2015-06,31
2015-07,31
2015-08,29
2015-09,31
2015-10,30
2015-11,27
2015-12,28
2016-01,28
2016-02,30
2016-03,28
2016-04,28
2016-05,30
2016-06,29
2016-07,25
2016-08,26
2016-09,27
2016-10,27
2016-11,27
2016-12,24
2017-01,26
2017-02,26
2017-03,27
2017-04,25
2017-05,25
2017-06,26
2017-07,25
2017-08,26
2017-09,26
2017-10,26
2017-11,26
2017-12,23
2018-01,24
2018-02,26
2018-03,25
2018-04,24
2018-05,24
2018-06,23
2018-07,23
2018-08,21
2018-09,23
2018-10,25
2018-11,24
2018-12,21
2019-01,22
2019-02,24
2019-03,23
2019-04,24
2019-05,23
2019-06,22
2019-07,22
2019-08,22
2019-09,23
2019-10,24
2019-11,23
2019-12,19
2020-01,21
2020-02,22
2020-03,21
2020-04,21
2020-05,21
2020-06,20
2020-07,20
2020-08,19
2020-09,22
2020-10,19
2020-11,18
2020-12,17
2021-01,17
2021-02,19
2021-03,19
2021-04,19
2021-05,18
2021-06,20
2021-07,18
2021-08,17
2021-09,18
2021-10,19
2021-11,18
2021-12,18
2022-01,20
2022-02,21
2022-03,22
2022-04,21
2022-05,20
2022-06,24
2022-07,20
2022-08,19
2022-09,20
2022-10,19
2022-11,19
2022-12,16
2023-01,18
2023-02,21
2023-03,19
2023-04,19
2023-05,19
2023-06,20
2023-07,19
2023-08,19
2023-09,21
2023-10,20
2023-11,20
2023-12,17
2024-01,20
2024-02,22
2024-03,22
2024-04,21
2024-05,20
2024-06,20
2024-07,21
2024-08,20
2024-09,23
2024-10,20
2024-11,20
2024-12,21
2025-01,21
2025-02,22
2025-03,21
2025-04,20
2025-05,20
2025-06,20
2025-07,21
2025-08,26
2025-09,37
2025-10,30
2025-11,27
2025-12,26
2026-01,25
2026-02,30
2026-03,31
2026-04,36
2026-05,42
2026-06,39
2026-07,27
