# source: live pytrends, stitched 2004-present monthly (src/trends.py)
Category: All categories

Month,wolf + the beast: (Worldwide)
2004-01,38
2004-02,38
2004-03,34
2004-04,35
2004-05,37
2004-06,34
2004-07,32
2004-08,31
2004-09,34
2004-10,34
2004-11,34
2004-12,34
2005-01,36
2005-02,36
2005-03,35
2005-04,36
2005-05,33
2005-06,35
2005-07,32
2005-08,33
2005-09,36
2005-10,37
2005-11,36
2005-12,42
2006-01,38
2006-02,36
2006-03,37
2006-04,36
2006-05,35
2006-06,35
2006-07,34
2006-08,34
2006-09,31
2006-10,33
2006-11,32
2006-12,32
2007-01,35
2007-02,35
2007-03,32
2007-04,33
2007-05,35
2007-06,32
2007-07,33
2007-08,30
2007-09,30
2007-10,33
2007-11,31
2007-12,32
2008-01,34
2008-02,34
2008-03,35
2008-04,32
2008-05,29
2008-06,35
2008-07,34
2008-08,33
2008-09,29
2008-10,31
2008-11,32
2008-12,31
2009-01,33
2009-02,33
2009-03,34
2009-04,31
2009-05,33
2009-06,32
2009-07,35
2009-08,40
2009-09,39
2009-10,41
2009-11,39
2009-12,37
2010-01,36
2010-02,35
2010-03,35
2010-04,32
2010-05,33
2010-06,32
2010-07,33
2010-08,31
2010-09,29
2010-10,35
2010-11,32
2010-12,33
2011-01,33
2011-02,33
2011-03,33
2011-04,34
2011-05,34
2011-06,39
2011-07,41
2011-08,40
2011-09,34
2011-10,35
2011-11,34
2011-12,37
2012-01,38
2012-02,35
2012-03,32
2012-04,33
2012-05,33
2012-06,42
2012-07,45
2012-08,42
2012-09,38
2012-10,42
2012-11,42
2012-12,42
2013-01,42
2013-02,42
2013-03,42
2013-04,40
2013-05,40
2013-06,53
2013-07,53
2013-08,52
2013-09,40
2013-10,43
2013-11,41
2013-12,53
2014-01,94
2014-02,74
2014-03,72
2014-04,59
2014-05,51
2014-06,54
2014-07,63
2014-08,64
2014-09,51
2014-10,48
2014-11,42
2014-12,48
2015-01,50
2015-02,51
2015-03,45
2015-04,45
2015-05,46
2015-06,50
2015-07,63
2015-08,59
2015-09,48
2015-10,47
2015-11,42
2015-12,46
2016-01,56
2016-02,57
2016-03,50
2016-04,46
2016-05,50
2016-06,52
2016-07,50
2016-08,44
2016-09,44
2016-10,48
2016-11,49
2016-12,51
2017-01,56
2017-02,57
2017-03,100
2017-04,67
2017-05,50
2017-06,54
2017-07,53
2017-08,51
2017-09,49
2017-10,44
2017-11,40
2017-12,42
2018-01,45
2018-02,43
2018-03,43
2018-04,41
2018-05,42
2018-06,39
2018-07,39
2018-08,37
2018-09,35
2018-10,37
2018-11,35
2018-12,37
2019-01,42
2019-02,37
2019-03,37
2019-04,35
2019-05,34
2019-06,36
2019-07,35
2019-08,35
2019-09,33
2019-10,33
2019-11,33
2019-12,36
2020-01,35
2020-02,34
2020-03,36
2020-04,39
2020-05,38
2020-06,36
2020-07,40
2020-08,38
2020-09,35
2020-10,36
2020-11,36
2020-12,37
2021-01,40
2021-02,38
2021-03,40
2021-04,39
2021-05,40
2021-06,38
2021-07,40
2021-08,40
2021-09,36
2021-10,36
2021-11,35
2021-12,37
2022-01,40
2022-02,39
2022-03,38
2022-04,38
2022-05,38
2022-06,37
2022-07,47
2022-08,37
2022-09,36
2022-10,37
2022-11,33
2022-12,41
2023-01,48
2023-02,44
2023-03,39
2023-04,35
2023-05,36
2023-06,38
2023-07,37
2023-08,38
2023-09,36
2023-10,34
2023-11,35
2023-12,35
2024-01,38
2024-02,36
2024-03,36
2024-04,36
2024-05,37
2024-06,38
2024-07,41
2024-08,38
2024-09,37
2024-10,37
2024-11,38
2024-12,39
2025-01,43
2025-02,39
2025-03,38
2025-04,46
2025-05,38
2025-06,38
2025-07,38
2025-08,42
2025-09,49
2025-10,43
2025-11,49
2025-12,47
2026-01,48
2026-02,49
2026-03,44
2026-04,46
2026-05,47
2026-06,43
2026-07,39
